contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL260204P00295000,AAPL,2026-02-04,295.00,put,17.81,18.23,16.45,11,20.00,12,2,0,2026-02-04,0.01488,-1.00000,0.00000,0.02942,0.00000,-0.00808
AAPL260204C00300000,AAPL,2026-02-04,300.00,call,0.01,0.01,0.00,0,0.01,101,4,691,2026-02-04,0.58072,0.00383,0.00136,-0.04804,0.00165,0.00003
AAPL260204P00300000,AAPL,2026-02-04,300.00,put,0.00,23.10,21.45,11,24.75,10,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.02991,0.00000,-0.00822
AAPL260204C00305000,AAPL,2026-02-04,305.00,call,0.01,0.01,0.00,0,0.01,2,3,3,2026-02-04,0.68803,0.00342,0.00103,-0.05138,0.00149,0.00003
AAPL260204P00305000,AAPL,2026-02-04,305.00,put,0.00,28.00,26.45,11,29.55,10,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.03041,0.00000,-0.00836
AAPL260204C00310000,AAPL,2026-02-04,310.00,call,0.01,0.01,0.00,0,0.01,1,0,175,2026-02-04,0.78559,0.00290,0.00078,-0.05050,0.00128,0.00002
AAPL260204P00310000,AAPL,2026-02-04,310.00,put,0.00,33.10,31.45,11,34.75,10,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.03091,0.00000,-0.00849
AAPL260204C00315000,AAPL,2026-02-04,315.00,call,0.02,0.01,0.00,0,0.01,1,0,1,2026-02-04,0.88315,0.00259,0.00063,-0.05128,0.00116,0.00002
AAPL260204P00315000,AAPL,2026-02-04,315.00,put,0.00,38.10,36.45,10,39.75,10,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.03141,0.00000,-0.00863
AAPL260204C00320000,AAPL,2026-02-04,320.00,call,0.01,0.01,0.00,0,0.01,1,0,18,2026-02-04,0.98071,0.00241,0.00053,-0.05325,0.00108,0.00002
AAPL260204P00320000,AAPL,2026-02-04,320.00,put,0.00,43.10,41.45,10,44.75,1,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.03191,0.00000,-0.00877
AAPL260206C00110000,AAPL,2026-02-06,110.00,call,167.00,166.65,164.70,2,168.60,2,5,1,2026-02-04,5.02939,0.99612,0.00011,-0.30745,0.00236,0.00596
AAPL260206P00110000,AAPL,2026-02-06,110.00,put,0.00,0.01,0.00,0,0.01,2080,0,0,2026-02-04,3.91722,-0.00044,0.00002,-0.03184,0.00033,-0.00001
AAPL260206C00120000,AAPL,2026-02-06,120.00,call,155.22,156.62,154.70,2,158.55,1,1,3,2026-02-04,4.44404,0.99656,0.00011,-0.24728,0.00212,0.00652
AAPL260206P00120000,AAPL,2026-02-06,120.00,put,0.00,0.01,0.00,0,0.01,2584,0,0,2026-02-04,3.56601,-0.00049,0.00002,-0.03196,0.00036,-0.00001
AAPL260206C00125000,AAPL,2026-02-06,125.00,call,121.10,151.65,149.75,1,153.55,5,0,3,2026-02-04,4.36599,0.99559,0.00014,-0.30141,0.00265,0.00677
AAPL260206P00125000,AAPL,2026-02-06,125.00,put,0.01,0.01,0.00,0,0.01,2587,1093,3,2026-02-04,3.40016,-0.00052,0.00003,-0.03191,0.00038,-0.00001
AAPL260206C00130000,AAPL,2026-02-06,130.00,call,126.73,146.68,144.75,5,148.60,2,0,0,2026-02-04,4.25868,0.99465,0.00018,-0.34764,0.00315,0.00703
